wagnum,month,target_month,target_day,60d_opor_station_sign_max,5d_st_river_sign_mean,60d_st_border_sign_mean,60d_st_car_sign_max,30d_st_car_sign_max,60d_avg_distance_max,5d_st_sea_sign_max,30d_st_freigh_sign_mean,10d_st_sea_sign_mean,60d_st_freigh_sign_max,10d_avg_distance_max,60d_st_sea_sign_mean,10d_opor_station_sign_mean,10d_naliv_mean,30d_diff_mean,30d_st_border_sign_mean,30d_st_freigh_sign_max,60d_st_freigh_sign_mean,30d_st_border_sign_max,5d_opor_station_sign_max,60d_st_ferry_sign_mean,5d_st_ferry_sign_max,10d_st_ferry_sign_mean,60d_naval_mean,10d_st_freigh_sign_mean,5d_st_sea_sign_mean,5d_skoroport_mean,10d_st_border_sign_mean,10d_opor_station_sign_max,5d_st_freigh_sign_mean,30d_opor_station_sign_mean,60d_opor_station_sign_mean,5d_openvagons_mean,10d_st_car_sign_max,60d_openvagons_mean,30d_openvagons_mean,5d_st_border_sign_max,10d_diff_mean,5d_diff_mean,10d_st_river_sign_mean,60d_st_sea_sign_max,60d_st_car_sign_mean,10d_another_road_max,60d_naliv_mean,10d_naval_mean,10d_skoroport_mean,5d_opor_station_sign_mean,30d_nasip_mean,10d_soprovod_mean,30d_isload_mean,60d_nasip_mean,60d_st_river_sign_max,60d_diff_mean,10d_nasip_mean,30d_avg_distance_max,5d_st_border_sign_mean,30d_naval_mean,5d_avg_distance_min,60d_skoroport_mean,5d_avg_distance_max,60d_isload_mean,10d_openvagons_mean,30d_st_sea_sign_mean,10d_smerz_mean,5d_smerz_mean,10d_isload_mean,10d_st_ferry_sign_max,5d_another_road_max,5d_soprovod_mean,30d_naliv_mean,5d_naval_mean,5d_st_car_sign_max,30d_st_ferry_sign_mean,60d_st_river_sign_mean,5d_naliv_mean,60d_st_ferry_sign_max,10d_st_border_sign_max,10d_st_freigh_sign_max,30d_st_car_sign_mean,10d_avg_distance_min,5d_st_car_sign_mean,30d_another_road_max,5d_st_ferry_sign_mean,30d_smerz_mean,30d_opor_station_sign_max,10d_st_river_sign_max,60d_smerz_mean,30d_soprovod_mean,30d_st_river_sign_max,30d_skoroport_mean,5d_st_freigh_sign_max,10d_st_sea_sign_max,30d_avg_distance_min,60d_st_border_sign_max,30d_st_ferry_sign_max,5d_st_river_sign_max,30d_st_river_sign_mean,30d_st_sea_sign_max,60d_soprovod_mean,60d_another_road_max,5d_isload_mean,10d_st_car_sign_mean,60d_avg_distance_min,5d_nasip_mean,date_kap,date_dep,kod_vrab,date_pl_rem,days_to_pl_rem,last_rem_date,days_from_last_rem,ost_prob,manage_type,rod_id_x,reestr_state,ownership_type,model,rod_id_y,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km,ownertype,expected_srok_sl_y,expected_srok_sl_y_b,date_build_b
1,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-29,2018-10-13,2,2024-07-01,547,2021-09-29,459,93069,0,0,1,0,11-066-04,0,680,680,120.0,220,1994-07-09,2026-03-07,1,,110,160,1,9,2,4,1,160000,0,31.682191780821917,long,"(0, 2000]"
2,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-03-01,2021-10-06,2,2024-08-19,596,2021-10-06,452,56136,0,0,1,0,Р-9494-01,0,680,680,122.0,252,1994-10-30,2026-11-15,1,,110,160,22,9,2,1,15,110000,0,32.06575342465754,long,"(0, 2000]"
3,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-15,2021-09-23,2,2024-04-01,456,2021-09-23,465,66998,0,0,1,0,11-066-04,0,680,680,120.0,220,1993-10-04,2025-10-03,1,,110,160,1,9,2,4,1,110000,0,32.01917808219178,long,"(0, 2000]"
4,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-21,2021-11-28,1,2024-11-28,697,2021-11-28,399,97873,0,0,1,0,11-217,0,680,680,120.0,235,1994-06-03,2028-08-01,23,,110,160,2,9,3,6,1,160000,0,34.18630136986302,long,"(0, 2000]"
5,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-06,2021-08-28,1,2024-08-28,605,2021-08-28,491,105924,0,0,1,0,11-270,0,688,688,122.0,240,1995-05-29,2028-09-25,1,,110,160,2,9,2,4,1,160000,0,33.35068493150685,long,"(0, 2000]"
6,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-31,2021-09-03,1,2024-09-03,611,2021-09-03,485,93222,0,0,1,0,11-270,0,688,688,122.0,237,1996-08-21,2026-09-18,1,2023-09-18,110,160,2,9,3,1,1,160000,0,30.095890410958905,long,"(0, 2000]"
7,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-02-04,2019-07-02,1,2022-07-02,-183,2019-07-02,1279,133049,0,0,1,0,11-270,0,688,688,122.0,240,1994-11-21,2026-09-15,1,,110,160,2,9,2,4,1,160000,0,31.838356164383562,long,"(0, 2000]"
8,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-23,2019-02-14,0,2025-01-23,753,2022-01-23,343,121470,0,0,1,0,11-270,0,688,688,122.0,251,1993-04-25,2027-08-15,1,,110,160,2,9,2,4,11,160000,0,34.32876712328767,long,"(0, 2000]"
9,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-19,2019-07-26,0,2022-07-26,-159,2019-07-26,1255,129178,0,0,1,0,11-270,0,688,688,122.0,237,1998-07-27,2029-10-19,1,,110,160,2,9,2,1,2,160000,0,31.252054794520546,long,"(0, 2000]"
10,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-14,2021-12-15,1,2024-12-15,714,2021-12-15,382,99201,0,0,1,0,11-270,0,688,688,122.0,250,1994-12-30,2027-06-10,1,,110,160,2,9,3,1,2,160000,0,32.465753424657535,long,"(0, 2000]"
